questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"মিয়োসিস কোষ বিভাজনের প্রোফেজ-১ এর কোন উপপর্যায়ে নিউক্লিয়ার মেমব্রেন এর বিলুপ্তি ঘটে?",প্যাকাইটিন,জাইগোটিন,ডিপ্লোটিন,ডায়াকাইনেসিস,,4,"মিয়োসিস কোষ বিভাজনের প্রোফেজ-১ এ ডায়াকাইনেসিস উপপর্যায়ে নিউক্লিয়ার মেমব্রেন এর বিলুপ্তি ঘটে।",1,1
"কোনটি স্থায়ী টিস্যুর বৈশিষ্ট্য নয়?","কোষগুলো পরিণত","কোষগুলো বিভাজনে সক্ষম","নিউক্লিয়াস আকারে ছোট","উদ্ভিদ দেহের যান্ত্রিক দৃঢ়তা বাড়ায়",,2,"<br />
স্থায়ী টিস্যুর বৈশিষ্ট্য:<br />
<br />
■ কোষগুলো বিভাজনে অক্ষম<br />
<br />
■ কোষগুলো পরিণত<br />
<br />
■ নিউক্লিয়াস অপেক্ষাকৃত ছোট",1,1
"উদ্ভিদ কর্তৃক মাটি হতে, শোষণকৃত উপাদান কয়টি?","9 টি","14 টি","23 টি","24 টি",,2,"উদ্ভিদ কর্তৃক মাটি হতে শোষণকৃত পুষ্টি উপাদান ১৪টি। কার্বন, হাইড্রোজেন ও অক্সিজেন বায়ু থেকে গ্রহণ করে।",1,1
"পতঙ্গের স্ক্লেরাইটগুলোর সংযোগস্থল কী দিয়ে আবৃত থাকে",সূচার,এপোডিস,টার্গাম,"কোনোটিই নয়",,1,"পতঙ্গের স্ক্লেরাইটগুলোর সংযোগস্থল সূচার (suture) নামে পাতলা নরম ঝিল্লিতে আবৃত।",1,1
"কোন প্রাণীতে যৌন দ্বিরূপতা দেখা যায়?","Pila globosa","Fasciola hepatica","Ascaris lumbricoides","Taenia solium","Nematoda পর্বের প্রাণীদের (Ascaris lumbricoides) যৌন দ্বিরূপতা দেখা যায়।",3,,1,1
"মূত্রের রং হালকা হলুদ হওয়ার কারণ কি?",অ্যামোনিয়া,বিলিরুবিন,কিটোনবডিস,ইউরোক্রোম,,4,"<br />
মূত্রে ইউরোক্রোম নামক রঞ্জক পদার্থ থাকায় এটি খড় (হালকা হলুদ) বর্ণের হয়।",1,1
"কোষের ট্রাফিক পুলিশ কোনটি?","গলগি বডি",সেন্ট্রোজোম,লাইসোজোম,"এন্ডোপ্লাজমিক রেটিকুলাম",,1,"গলগি বডিকে কোষের ট্রাফিক পুলিশ বলা হয়।",1,1
"সালোকসংশ্লেষণের জন্য অ্যান্টেনা পিগমেন্ট কোনগুলো?","ক্লোরোফিল - a","ক্লোরোফিল b ও ক্যারোটিনয়েডস","ক্যারোটিনয়েডস ও ফাইকোবিলিনস","উপরের সবগুলো",,2,"ক্লোরোফিল b ও ক্যারোটিনয়েডসকে অ্যান্টেনা পিগমেন্ট বলে",1,1
"সেরেব্রাম মস্তিষ্কের মোট ওজনের শতকরা কত ভাগ?",৫০,৭০,৮০,৯০,,3,"মস্তিষ্কের ওজনের ৮০% হচ্ছে সেরেব্রাম।",1,1
"কোষ বিভাজনের কোন ধাপে কায়াজমা সৃষ্টি হয়?",লেপ্টোটিন,ডায়াকাইনেসিস,জাইগোটিন,প্যাকাইটিন,,4,"কোষ বিভাজনের প্যাকাইটিন পর্যায়ে কায়াজমা সৃষ্টি হয়। এ পর্যায়েও নিউক্লিয়োলাস এবং নিউক্লিয়ার এনভেলপ দেখা যায়।",1,1
"বংশগতিবিদ্যার জনক কে?","থামাস হান্ট মর্গান","চার্লস রবার্ট ডারউইন","গ্রেগর জোহান মেন্ডেল","টিম হান্ট",,3,,1,1
"ফ্রুক্টোজ ৬-ফসফেট হতে ফ্রুক্টোজ ১, ৬-বিসফসফেট উৎপাদনে কার্যকারী এনজাইমের নাম কি?","ফসফোফ্রুক্টো কাইনেজ","ফসফোগ্লিসারো মিউটেজ","ফসফোফ্রুক্টো আইসোমারেজ",হেক্সাকাইনেজ,,1,"ফ্রুক্টোজ ৬-ফসফেট হতে ফ্রুক্টোজ ১, ৬-বিসফসফেট উৎপাদনে কার্যকারী এনজাইমের নাম হলো ফসফোফ্রুক্টো কাইনেজ।",1,1
"কোনটি মূলের অন্তর্গঠনের ক্ষেত্রে সত্য?","মূলরোম বহুকোষী","কিউটিকল থাকে","মূলতকে পত্ররন্ধ্র থাকে","অধঃত্বক থাকে না",,4,"<br />
মূলের অর্ন্তগঠন বৈশিষ্ট্য:<br />
<br />
মূলরোম সর্বদাই এককোষী<br />
<br />
অধঃত্বক অনুপস্থিত<br />
<br />
ভাস্কুলার বান্ডল সবসময়ই অরীয়",1,1
"মানবদেহের লালাগ্রন্থি নয় কোনটি?",প্যারোটিড,থাইরয়েড,সাবম্যান্ডিবুলার,সাবলিঙ্গুয়াল,,2,"মানবদেহে তিনজোড়া লালাগ্রন্থি রয়েছে। যথা:-প্যারোটিড গ্রন্থি, সাবম্যান্ডিবুলার গ্রন্থি ও সাবলিঙ্গুয়াল গ্রন্থি।",1,1
"উদ্ভিদের ভাজক টিস্যুর ক্ষেত্রে কোনটি সঠিক?","আদি টিস্যু নয়","কোষগুলো বিভাজমে অক্ষম","বর্ধিষ্ণু অঞ্চলে থাকে না","কোষগুলো অপরিনত",,4,"উদ্ভিদের ভাজক টিস্যুর কোষগুলো অপরিনত।",1,1
"p-অরবিটালের আকৃতি কেমন?","গোলাকার ",বৃত্তাকার,"ডাম্বেলের মতো","ডাবল-ডাম্বেলের মতো",,3,,1,2
"চৌম্বকীয় কোয়ান্টাম সংখ্যা নির্দেশ করে-","কক্ষপথের আকার","ইলেক্ট্রনের অক্ষ বরাবর ঘূর্ণন ","উপকক্ষের ত্রিমাত্রিক দিকবিন্যাস","উপকক্ষের আকৃতি",,3,,1,2
"একটি শূন্য ক্রম বিক্রিয়ায় 100 মিনিটে বিক্রিয়কের ঘনমাত্রা 0.2 M থেকে 0.1M এ নেমে আসে। ঐ বিক্রিয়কের ঘনমাত্রা 0.1M থেকে 0.05M এ নেমে আসতে কত মিনিট সময় লাগবে?",50,100,150,200,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/241106161725.jpg"">",1,2
"২য় ক্রম বিক্রিয়ার অর্ধায়ুস্কাল প্রারম্ভিক ঘনমাত্রার-",সমানুপাতিক,ব্যাস্তানুপাতিক,বর্গমূল,বর্গ,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/241106162137.jpg"">",1,2
"কোন মিশ্রণটি বাফার দ্রবণ নয়?","Na<sub>2</sub>CO<sub>3</sub>+ NaHCO<sub>3</sub>","CHCOOH + CH<sub>3</sub>COONa",HCL+NaCl,NaH<sub>2</sub>PO<sub>4</sub>+Na<sub>2</sub>HPO<sub>4</sub>,,3,"কিছু বাফার দ্রবণের উদাহরণ-<br />
<img class=""qimg"" src=""https://www.rayvila.com/5/241106165226.jpg"">",1,2
"0.001M NaOH দ্রবণের pH এর মান কত?",12,13,11,14,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/241106165619.jpg"">",1,2
"কোন নীতি অনুযায়ী ইলেকট্রন 3d অরবিটালের আগে 4s এ প্রবেশ করে?","হুন্ডের নীতি","আউফবাউ নীতি","পলির বর্জন নীতি","আইজেক নীতি",,2,,1,2
"কোনটি ন্যাচারাল ফুড প্রিজারভেটিভ?","ভিটামিন -A",সরভেট,অ্যালকোহল,বেনজয়েট,,3,"প্রাকৃতিক প্রিজারভেটিভ: লবন, চিনি, অ্যালকোহল, ভিনেগার, তেল ইত্যাদি।",1,2
"CH≡CH অনুতে কার্বনের কোন ধরনের হাইব্রিডাইজেশন বিদ্যমান?",sp,sp²,sp³d²,sp³,,1,"ত্রিবন্ধন →sp ; দ্বিবন্ধন →sp² ; একক বন্ধন →sp³",1,2
"1000 mL দ্রবণে 26.5g Na₂ CO₃ দ্রবীভূত থাকলে ঐ দ্রবণের ঘনমাত্রা কত হবে?","1 M","0.5 M","0.25 M","0.1 M",,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250202195941.jpg"">",1,2
"কোন যৌগে কাইরাল কেন্দ্র আছে?",CH₃CH(OH)CH,C₂H₅-O-CH₃,CH₃CH₂OH,"কোনটিই নয়",,1,"কাইরাল কেন্দ্র হলো একটি কার্বন পরমাণু যা চারটি ভিন্ন গ্রুপ দ্বারা যুক্ত থাকে।",1,2
"কার্যকরী মূলকের অগ্রাধিকার ক্রম অনুসারে নিম্নের কোন মূলকের অবস্থান সর্বোচ্চ?","সায়ানো মূলক","অ্যালকোহল মূলক","কিটোন মূলক","অ্যালডিহাইড মূলক",,1,"এসিড > সায়ানো > অ্যালডিহাইড কিটোন > অ্যালকোহল।",1,2
"অ্যানোডে ইলেকট্রন ত্যাগ করে____বিক্রিয়ায় অংশগ্রহণ করে।",বিজারণ,জারণ,জারণ-বিজারণ,অপসারণ,,2,,1,2
"দীপ শিখায় ম্যাগনেশিয়াম কোন বর্ণ উৎপন্ন করে?","ইটের মত লাল","টকটকে লাল",সবুজ,"কোনোটিই নয়",,4,"দীপ শিখায় বেরিলিয়াম ও ম্যাগনেশিয়াম কোন বর্ণ সৃষ্টি করে না।",1,2
"15g CaCO₃ কে অধিক তাপে পোড়ানো হলে কি পরিমান CaO উৎপন্ন হয়?","8.4 kg"," 8.4 g","8.8 kg","8.8 g",,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250202204201.jpg"">",1,2
"নিম্নের কোনটি বেনজিন চক্রে প্রতিস্থাপন বিক্রিয়ায় সক্রিয়কারী গ্রুপ?",-CN,-CHO,-COOR,-R,,4,"সক্রিয়কারী বা অর্থপ্যারা নির্দেশক গ্রুপ-R, -NH2, -OH ইত্যাদি।",1,2
"A+B⇌C এর সাম্যধ্রুবক K এবং C⇌A + B এর সাম্যধ্রুবক K₁ হলে কোন সমীকরণটি সঠিক?",K₁=1/K,K₁=1/√K,K₁=K,K₁=1/K²,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250202205745.jpg"">",1,2
"<b>অ্যালকিনে (-C = C -) বন্ধন দূরত্ব কত?</b>","0.154 nm","0.139 nm","0.134 nm","0.120 nm",,3,,1,2
"<b>উর্টজ বিক্রিয়ায় বিজারক হিসেবে কাজ করে-</b>",Cl,Na,"শুষ্ক ইথার",ইথার,,2,,1,2
"4kg ভরের একটি বস্তু সম্পূর্ণরূপে শক্তিতে রূপান্তরিত হলে শক্তির পরিমাণ হবে___",3.6×10<sup>16</sup>J,3.6×10<sup>15</sup>J,3.6×10<sup>18</sup>J,"3.6×10<sup>17</sup> J",,4,E=mc<sup>2</sup>,1,3
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250113091642.jpg"">",4,2,e,none,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250113091646.jpg"">",1,3
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250113083003.jpg"">","4 μF","7 μF","6 μF","8 μF",,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250113083007.jpg"">",1,3
"একটি বিপরীতমুখী কার্নো ইঞ্জিন উৎস থেকে 2775J তাপ গ্রহণ করে গ্রাহকে 1850J তাপ বর্জন করে। উৎসের তাপমাত্রা 200 K হলে গ্রাহকের তাপমাত্রা কত?",27°C,35°C,133.33K,300K,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250102131113.jpg"">",1,3
"গ্যালভানোমিটারের প্রবাহ শূন্য হয় যখন-",s=0,s=a,s<b><b><</b><</b>a,s=∞,,1,,1,3
"তারকে টেনে প্রস্থচ্ছেদ এক চতুর্থাংশ করা হলো পূর্বের রোধ 2Ω হলে বর্তমান রোধ কতো?",30Ω,32Ω,35Ω,40Ω,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250113080451.jpg"">",1,3
"নির্দিষ্ট ভরের আদর্শ গ্যাসের আয়তন স্থির চাপে দ্বিগুণ করা হলো। যদি গ্যাসের প্রাথমিক তাপমাত্রা 35°C হয় তবে চূড়ান্ত তাপমাত্রা কত?",70°C,343°C,608°C,616°C,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250102134214.jpg"">",1,3
"একটি ফ্যান মিনিটে 500 বার ঘুরে। সুইচ বন্ধ করার 2 min পর ফ্যানটি বন্ধ হয়ে যায়। থেমে যাওয়ার পূর্বে ফ্যানটি কতবার ঘুরবে?",100,200,350,500,,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250104091024.jpg"">",1,3
"কোনো আদর্শ গ্যাসের মূল গড় বর্গবেগ পরম তাপমাত্রার-","সমানুপাতিক ","বর্গমূলের সমানুপাতিক ",ব্যাস্তানুপাতিক,"বর্গের ব্যাস্তানুপাতিক",,2,,1,3
"একটি ভোল্টমিটারের রোধ 50Ω এবং এটি 750mV পর্যন্ত বৈষম্য মাপতে পারে। একে দিয়ে 150V মাপতে হলে কত মানের রোধ যোগ করতে হবে?",1230Ω,9955Ω,9950Ω,1099Ω,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/240913180030.jpg"">",1,3
" কোনটি সত্য?<br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250102133356.jpg"">","P₁ > P₂ > P₃","P₃ > P₂ >P₁","P₃ > P₁ > P₂","P₃ < P₁ < P₂",,1,"স্থির তাপমাত্রায় আয়তন বাড়লে চাপ কমে।",1,3
"পীড়নের মাত্রা সমীকরন কোনটি?",[ML⁻⁴T⁻²],[ML⁻¹T⁻³],[LM²T⁻²],[ML⁻¹T⁻²],,4,,1,3
"দুইটি বলের লব্ধির সর্বোচ্চ মান 28 N এবং সর্বনিন্ম মান 4N. বল দুটি পরস্পরের সাথে 90° কোণে কোন একটি কণার উপর ক্রিয়া করলে লব্ধি বল হবে—",20N,28.8N,32N,400N,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250214003028.jpg"">",1,3
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250214152638.jpg"">","Option a","Option b","Option c","Option d",,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250214152643.jpg"">",1,3
"একটি রাইফেলের গুলির বেগ যদি দ্বিগুণ করা হয় তাহলে এর গতিশক্তি কতগুণ হবে?",দ্বিগুণ,চারগুণ,আটগুণ,ষোলগুণ,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250214155953.jpg"">",1,3
"কোনো ইনট্রিন্সিক অর্ধপরিবাহীতে কক্ষ তাপমাত্রায় ইলেকট্রন ও হোলের সংখ্যা-",সমান,"অসমান ",শূণ্য,অসীম,,1,,1,3
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250113093309.jpg"">",2.8,3.33,2,3,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250113093313.jpg"">",1,3
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250113081309.jpg"">","-0.1 N","-0.2 N","-0.3 N","0 N",,4,,1,3
"একটি ভোল্টমিটারের রোধ 50Ω এবং এটি 750mV পর্যন্ত বৈষম্য মাপতে পারে। একে দিয়ে 150V মাপতে হলে কত মানের রোধ যোগ করতে হবে?",1230Ω,9955Ω,9950Ω,1099Ω,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250113080643.jpg"">",1,3
"রূদ্ধতাপীয় পরিবর্তনে কোন ভৌতি রাশিটি স্থির থাকে?","তাপমাত্রা ","চাপ ",আয়তন,এনট্রপি,,4,"রূদ্ধতাপীয় পরিবর্তনে এনট্রপি ধ্রুব।",1,3
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116101507.jpg"">",xy<1,xy>1,x=y,none,,1,,1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116100750.jpg"">",30°,45°,90°,180°,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116100755.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116100208.jpg"">",√2,2√2,1,"কোনটিই নয়",,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116100212.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116094922.jpg"">",12,2√2,12√3,12√2,,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116094926.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116094012.jpg"">",4x+4y=-4,x+y+3=0,3x=2+4y,x-y=-3,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116094017.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116093730.jpg"">","4,1","4,-1","-4,1","2,1",,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116093733.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115205342.jpg"">",P<sup>2</sup>-3p<sup>3</sup>q<sup>3</sup>,P<sup>3</sup>-3pq,P<sup>2</sup>-3p<sup>2</sup>q,P<sup>3</sup>+3pq,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115205348.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116101644.jpg"">",2,3,-4,4,,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116101649.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116101249.jpg"">",π/6,π/2,π/3,nπ/3,,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116101252.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116100326.jpg"">",10°,15°,30°,60°,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116100329.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116093535.jpg"">",x+y+1=0,3x=y+5,4x=y+3,none,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116093539.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116091536.jpg"">",6+i,8,5,9+2i,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250116091543.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115204722.jpg"">",12,√(17),±√(19),√(19),,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115204725.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115203451.jpg"">",30°,60°,120°,210°,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115203454.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115201517.jpg"">",2p,-2p,2q,-2q,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250115201521.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105194338.jpg"">","-2,-8","2,8","2,-8","-2,8",,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105194342.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105194542.jpg"">",0,1,5,6,,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105194546.jpg"">",1,4
"বৃত্তের সাধারণ সমীকরণ x অক্ষকে ছেদ করে না, যখন-","g² > c","g² < c","f² > c ","f² < c",,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250105202627.jpg"">",1,4
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106071720.jpg"">"," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106071725.jpg"">"," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106071733.jpg"">"," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106071737.jpg"">",none,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106071743.jpg"">",1,4
"△ABC তে a=2b, A=3B হলে ∠A=?",60°,30°,90°,120°,,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250106072930.jpg"">",1,4
"অনুপ্রভা সৃষ্টিকারী পদার্থ কোনটি?",ZnS,ZnS₂,K₂S,CaS,,1,,1,2
"<b>The boy laughed at the beggar. Change it into passive voice-</b>","The beggar was laughed by the boy.","The beggar was being laughed by the boy.","The beggar was being laughed at by the boy.","The beggar was laughed at by the boy.",,4,"<br />
<b>প্রথমে Object (The begger) কে  subject হিসেবে + auxiliary verb-was (past indefinite অনুসারে) + V3 (laughed at-group verb) + preposition (by) + subject (the boy) কে object হিসেবে করা হয়েছে।</b>",1,5
"<b>Which one is singular number?</b>",Mumps,Billiards,Gallows,Ethics,,4,,1,5
"<b>Select the underlined word of phrase that is incorrect:  <br />
<u>When</u> our vacation, we <u>plan</u> to spend three <u>days</u> scuba <u>diving</u>.</b>",when,diving,days,plan,,1,"<br />
<b>When এর পর একটি clause প্রয়োজন।  During হবে।</b>",1,5
"<b>'The Seven Cs' is known as-</b>","20<sup>th</sup> Century Lifelong skills","21<sup>st</sup> Century Lifelong skills","22<sup>nd</sup> Century Lifelong skills","None of the above",,2,,1,5
"<b>The word 'emancipation' is -</b>",Participation,Encouragement,Expectation,Liberation,,4,"<br />
<b>Emancipation - মুক্তি, স্বাধীনতা  (Liberation)।</b>",1,5
"<b>Read the sentence and fill in the blank. ____ some employers oppose the very existence of unions, many theorists felt the necessity of unions.</b>",Because,"Due to",However,Although,,4,"<br />
<b>দুটি বিপরীত ধারণা বোঝাতে although বসে। যদিও কিছু কর্মচারী সংঘের উপস্থিতির বিরোধিতা করে, অনেকেই এটার প্রয়োজনীয়তা অনুভব করেন।</b>",1,5
"<b>Choose the word which fits best within the texts below.  Among ____ 12-year-olds have on average only three missing, decayed of filled teeth.</b>",person,people,children,family,,3,"<br />
<b>শিশুদের মধ্যে ১২ বছর বয়সী।</b>",1,5
"<b>Choose the word or phrase which best completes the sentence. The children won't go to sleep ____ we leave a light on outside their bedroom</b>",except,otherwise,unless,but,,3,"<br />
<b>Unless (যদি না) যুক্ত বাক্যটি positive হয় কিন্তু negative অর্থ প্রকাশ করে। বাচ্চারা ঘুমাতে যাবে না যদি না আমরা তাদের বেডরুমের আলো বন্ধ করি।</b>",1,5
"<b>Choose the word or phrase which best completes the each sentence. I've always ____ you as my best friend.</b>",regraded,thought,meants,supposed,,1,"<br />
<b>বাক্যে as থাকার কারণে regarded হবে।  Regard as -  মনে করা, বিবেচনা করা।</b>",1,5
"<b>Fill in the blank with appropriate word: An ideal teacher knows the art of____.</b>",teach,teaching,learn,know,,2,"<br />
<b>Preposition এর পর noun হবে। তাই teaching হবে।</b>",1,5
