questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"কোনো তড়িৎ দ্বিমেরুর দুইটি চার্জের মধ্যবর্তী দূরত্ব 2mm; তড়িৎ দ্বিমেরুর কেন্দ্রকে কেন্দ্র ধরে 20cm ব্যাসার্ধের একটি বৃত্ত কল্পনা করা হলে দ্বিমেরুর অক্ষের সাথে 30° ও 60° কোণে অবস্থিত বৃত্তের পরিধির ওপর অবস্থিত দুইটি বিন্দুতে তড়িৎ প্রাবল্যের অনুপাত কত?",√91/7,13/7,13/36,√(91/7),,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250308091032.jpg"">",1,1
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250308142231.jpg"">",A,B,C,D,,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250308142236.jpg"">",1,1
"900 kg ভরের একটি লিফট 350 kg ভর নিয়ে সমবেগে 98 sec সময়ে নিচতলা থেকে 18th ফ্লোরে 100 m উচ্চতায় আরোহণ করে। লিফটের প্রয়োগকৃত ক্ষমতা কত?","1.25 kw","5.25 kw","12.5 kw","125 kw",,3,"P = ((900+350)*9.8*100)/98<br />
= 12500",1,1
"পয়সন অনুপাতের সর্বোচ্চ মান হলো-",1/2,-1/2,2,-2,,1,,1,1
"কোন ধর্মের কারণে পানির ফোঁটা গোলাকৃতি হয়?",কৌশিকতা,সান্দ্রতা,পৃষ্ঠটান,স্থিতিস্থাপকতা,,3,,1,1
"একই পদার্থের বিভিন্ন অণুর মধ্যে পারস্পরিক বলকে-","সংসক্তি বল","আসঙ্গন বল","পৃষ্ঠ শক্তি",পৃষ্ঠটান,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250308143309.jpg"">",1,1
"একটি বস্তুর দৈর্ঘ্য বিকৃতি 15×10<sup>-5</sup> এবং দৈর্ঘ্য পীড়ন 30×10<sup>6</sup> Nm<sup>-2</sup> । বস্তুটির ইয়ং এর গুণাঙ্ক-","3×10<sup>11</sup> Nm<sup>-2</sup>","4×10<sup>11</sup> Nm<sup>-2</sup>","8×10<sup>11</sup> Nm<sup>-2</sup>","2×10<sup>11</sup> Nm<sup>-2</sup>",,4,,1,1
"কোন তরলের স্পর্শকোণ 90° থেকে কম হলে ঐ তরলের তল কীরুপ হবে?",উত্তল,অবতল,সমোত্তল,সমাবতল,,2,,1,1
"সাবানের বুদবুদের চাপ P, পৃষ্ঠটান T এবং ব্যাসার্ধ r। এদের মধ্যে সম্পর্ক কী?",P=2π/r,P=4T/r,P=T/r,P=4T/3r,,2,"পানির জন্য চাপ=2T/r অন্যদিকে সাবানের বুদবুদের জন্য চাপ=4T/r কারন সাবান বুদবুদের দুটা পৃষ্ঠ।",1,1
"পয়সনের অনুপাত σ=......?","পার্শ্ব বিৃকতি×দৈর্ঘ্য বিকৃতি","পার্শ্ব বিৃকতি/দৈর্ঘ্য বিকৃতি","(পার্শ্ব বিৃকতি × দৈর্ঘ্য বিৃকতি)/ইয়ং গুনাঙ্ক","দৈর্ঘ্য বিকৃতি/ পার্শ্ব বিৃকতি",,2,,1,1
"এক টুকরা কর্কযুক্ত 0°C তাপমাত্রার একটি বরফখণ্ড বরফ-পানিতে ভাসমান। বরফখণ্ডটি গলে গেলে পানির স্তরের উচ্চতা:","কমে যাবে","বৃদ্ধি পাবে","আদি অবস্থায় পানি ও বরফের অনুপাতের উপর নির্ভরশীল","সমান থাকবে",,4,"সমান থাকবে",1,1
"পর্যায়কাল দ্বিগুণ করতে সরল দোলকের দৈর্ঘ্য কতগুণ করতে হবে?",1/2,2,1/4,4,,4,"L<sub>2</sub> = n<sup>2</sup>L = 2<sup>2</sup>L = 4L",1,1
"একটি কণা A বিস্তারে সরল ছন্দিত স্পন্দনে স্পন্দিত হচ্ছে। সাম্যাবস্থা থেকে কত দূরত্বে কণাটির বিভব শক্তি তার মোট শক্তির এক-চতুর্থাংশ হয়?",A/4,A/2,A√2,A/√2,,2,,1,1
"একটি সেকেন্ড দোলকের কার্যকরী দৈর্ঘ্য কত?","0.248 m","0.994 m","9.81 m","0.252 m",,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250308144456.jpg"">",1,1
"সরল দোল গতিতে নিম্নের কোন বিষয়টি দোলনের বিস্তারের উপর নির্ভরশীল নয় ?",ত্বরণ,বেগ,কম্পাঙ্ক,"মোট শক্তি",,3,,1,1
"স্প্রিং ধ্রুবকের একক কোনটি ?",Nm,Nm<sup>-1</sup>,Nm<sup>2</sup>,Nm<sup>-2</sup>,,2,"স্প্রিং ধ্রুবক, k = F/x",1,1
"একটি সরল দোলক T পর্যায় কাল নিয়ে দুলতে থাকে । সরল দোলকটির ববের ভর দ্বিগুণ করলে এর নতুন পর্যায় কাল হবে -",2T,T,T/2,√2T,,2,,1,1
"একটি দ্বি-পরমাণুক আদর্শ গ্যাসের N সংখ্যক অণু আছে যার তাপমাত্রা T। তাপমাত্রা পরিবর্তন না করে অণুর সংখ্যা দ্বিগুণ করা হলো। গ্যাসের অভ্যন্তরীণ শক্তির বৃদ্ধির পরিমাণ কত?",0,"1/2 NkT","3/2 NkT","5/2 NkT",,1,,1,1
"আপেক্ষিক আদ্রতা কম হলে বাষ্পায়ন হবে-",দ্রুত,ধীর,"স্থির থাকবে","খুবই ধীর",,1,,1,1
"একটি অণুর স্বাধীনতার মাত্রা f হলে , ঐ অণু দ্বারা গঠিত আদর্শ গ্যাসের মোট অভ্যন্তরীণ শক্তি কত হবে?","f/2 nRT","3f/2 nRT","f/2 RT","3f/2 RT",,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250308145203.jpg"">",1,1
"একটি গ্যাসের পরম তাপমাত্রা চারগুণ করা হলে, এর অণুলোর মূল গড় বর্গবেগ কত হবে?","অর্ধেক হবে","চারগুণ হবে","দ্বিগুণ হবে","অপরিবর্তিত থাকবে",,3,,1,1
"একটি ত্রি- পারমাণবিক অণুর স্বাধীনতার মাত্রার সংখ্যা কত?",3,4,5,6,,4,"দ্বিপারমানবিক অনুর ক্ষেত্রে ৫<br />
ত্রিপারমানবিক অনুর ক্ষেত্রে ৬",1,1
"নাইট্রোজেন গ্যাসের ক্ষেত্রে ɤ এর মান কত?",১.৩৩,১.৪,১.৬৭,২.৩৩,,2,,1,1
"PV রাশিটি গ্যাসের ক্ষেত্রে কী নির্দেশ করে?",ক্ষমতা,শক্তি,জড়তা,ভরবেগ,,2,,1,1
"STP তে একটি আদর্শ গ্যাসকে প্রথমে তার প্রাথমিক আয়তনের এক- তৃতীয়াংশে সংকুচিত করা হয় এবং তারপর প্রসারিত হতে দেওয়া হয় যতক্ষণ না তার চাপ প্রাথমিক চাপের অর্ধেক হয়। উভয় প্রক্রিয়ায় গ্যাসের তাপমাত্রা স্থির থাকে। যদি গ্যাসের প্রাথমিক অভ্যন্তরীণ শক্তি U হয়ে থাকে তাহলে এর চূড়ান্ত অভ্যন্তরীণ শক্তি কত?",U/2,U/3,U,2U/3,,3,,1,1
"কোনো বিচ্ছিন্ন সিস্টেমের চূড়ান্ত অবিচল অবস্থাকে _____ বলে।","তাপগতীয় প্রক্রিয়া","তাপগতীয় স্থানাঙ্ক","তাপগতীয় সাম্যাবস্থা","অভ্যন্তরীণ শক্তি",,3,"তাপগতীয় সাম্যাবস্থায় তাপের আদান প্রদান ঘটে না। সিস্টেম টি তাপীয়ভাবে বিচ্ছিন্ন থাকে",1,1
"কেলভিন স্কেলে এমন একটি তাপমাত্রা বের কর যা সেলসিয়াস স্কেলে ফারেনহাইট স্কেলের 5 গুণ।","245 K","240 Κ","255 K","253 K",,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310141642.jpg"">",1,1
"একটি রান্নাঘরের দেয়াল, সিলিং এবং মেঝে তাপীয় অন্তরক পদার্থ দ্বারা তৈরি। রান্নাঘরে একটা সামান্য রেফ্রিজারেটরের দরজা খুলে তা চালু রাখা হলে রান্নাঘরের তাপমাত্রা -","স্থির থাকবে",কমবে,বাড়বে,"প্রথমে বাড়বে পরে কমবে",,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310141845.jpg"">",1,1
"প্রত্যাবর্তী রুদ্ধতাপীয় প্রক্রিয়ায় যে ভৌত রাশি স্থির থাকে তাকে কি বলে?",চাপ,আয়তন,তাপমাত্রা,এনট্রপি,,4,,1,1
"P- কেন্দ্র বিশিষ্ট R ব্যাসার্ধের একপাক তাপ গ্রহণ করে এবং 77°C তাপমাত্রায় তাপ বর্জন করে।ইঞ্জিন প্রতি চক্রে 1kCal তাপ গ্রহণ করলে, প্রতি চক্রে সম্পাদিত কাজের পরিমাণ নির্ণয় কর।",2,4,6,"অপরিবর্তিত থাকবে",,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310142055.jpg"">",1,1
"যদি 2 ক্যালরি তাপ সমপূর্ণভাবে কাজে রূপান্তরিত হয় তবে কাজের পরিমাণ কত?","4.2 J","4.8 J","8.2 J","8.4 J",,4,"2 cal = (2*4.2) = 8.4 j",1,1
"দ্বিমেরুর জন্য তড়িৎ ক্ষেত্রের প্রাবল্য এর কেন্দ্র থেকে দূরত্বের সাথে কীভাবে পরিবর্তন হয়?",r<sup>2</sup>,r<sup>-1</sup>,r<sup>-2</sup>,r<sup>-3</sup>,,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310142350.jpg"">",1,1
"পৃথিবীর তড়িৎ বিভব কত?",Infinity,"0 V","1 V","10K V",,2,,1,1
"500 ভোল্ট এর সমতুল্য কোনটি?","চার্জের 4 কুলম্ব প্রতি 2000 জুল শক্তি","প্রতি 2 কুলম্ব চার্জে 1000 জুল শক্তি","প্রতি 1 কুলম্ব চার্জে 500 জুল শক্তি","উপরের সবগুলো",,4," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310142641.jpg"">",1,1
"দুটি চার্জ q1 এবং q2 একটি ভ্যাকুয়ামে d দূরত্বে স্থাপন করা হয়েছে এবং তাদের মধ্যে ক্রিয়াশীল বল হল F। যদি তাদের চারপাশে ড্রাইইলেক্ট্রিক ধ্রুবকের মান 4 বিশিষ্ট একটি মাধ্যম প্রবর্তন করা হয়, তবে নতুন বলের মান হবেঃ",F,F/2,F/4,4F,,3,,1,1
"একটি ক্যাপাসিটরে ধারকত্ব 6 pF। ধাতব প্লেটের মধ্যে একটি গ্লাস(k=5.2) ডাইইলেক্ট্রিক স্থাপনের ফলে নতুন ধারকত্ব কত?","15 pF","31.2 pF",331pF,"6 pF",,2,"C'= 6*5.2=31.2",1,1
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310143020.jpg"">",20/29,29/20,30/39,48/29,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310143013.jpg"">",1,1
" অংকিত বর্তনীটিতে তড়িৎপ্রবাহ কত?<br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310143217.jpg"">","2 A","23.33 A","0.5 A","1 A",,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310143213.jpg"">",1,1
"কোনো পরিবাহীর দৈর্ঘ্য দ্বিগুণ এবং প্রস্থচ্ছেদের ক্ষেত্রফল অর্ধেক করলে রোধের মান কত গুণ হবে?",2,4,8,16,,2,,1,1
"10  Ω  রোধবিশিষ্ট একটি কপারের তারের দৈর্ঘ্য 2 গুণ এবং প্রস্থচ্ছেদের ক্ষেত্রফল 4 গুণ করলে তারটির রোধ কত হবে ?","5 Ω ","10 Ω ","20 Ω ","40 Ω ",,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310143926.jpg"">",1,1
"একটি অ্যামিটারের অভ্যন্তরীন রোধ r। অ্যামিটারের সর্বোচ্চ প্রবাহমাত্রা x গুন বৃদ্ধি করতে হলে কত রোধ কীভাবে যুক্ত করতে হবে?","r/x-1 রোধ শ্রেনিতে","r/x-1 রোধ সমান্তরালে","r(x-1) রোধ শ্রেনিতে","r(x-1) রোধ সমান্তরালে",,2,,1,1
"একটি কোষের তড়িচ্চালক শক্তি 3.5V এবং অভ্যন্তরীণ রোধ 1Ω । কোষের প্রান্তদ্বয় 6Ω দ্বারা যুক্ত করলে কত বিদ্যুৎ প্রবাহিত হবে?",5A,0.5A,4A,3A,,2,"i = E/(R+r) = 3.5/(6+1) = 0.5 A",1,1
"আয়তন অপরিবর্তিত রেখে 5Ω   রােধের একটি তামার তারকে টেনে দ্বিগুণ লম্বা করা হল এই অবস্থায় তারটির রােধ কত হবে?",20Ω,10Ω,15Ω,25Ω,,1,"সুত্রঃ <br />
R'= n<sup>2</sup>R<br />
  =2<sup>2</sup>×5<br />
. =4×5<br />
. =20",1,1
"কোনো পরিবাহীর তাপমাত্রা বেড়ে গেলে, এর রোধ-",কমে,বাড়ে,"অপরিবর্তিত থাকে","কোনটি নয়",,2,,1,1
"এক অ্যাম্পিয়ার-ঘন্টা কত কুলম্বের সমান?",36,360,3600,36000,,3,,1,1
"3Ω এর তিনটি রোধককে সমান্তরালে সংযোগ করা হলে তুল্য রোধ হবে-",1Ω,9Ω,6Ω,12Ω,,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250310144651.jpg"">",1,1
"একটি 1200W হিটারকে 120 ভোল্ট লাইনে 1  ঘন্টার জন্য সংযুক্ত করা হলে ঐ হিটারে কি পরিমাণ বিদ্যুৎ প্রবাহ হবে?",5A,10A,20A,100A,,2,"I = P/V = 1200/120 = 10A",1,1
"√(μ<sub>0</sub>ε<sub>0</sub>)  এর মাত্রা কোনটি?",LT<sup>-1</sup>,L<sup>-1</sup>T,L<sup>2</sup>T<sup>-1,LT,,2,,1,1
"ইয়াং এর পরীক্ষায় যদি স্লিট ও পর্দার মধ্যকার দূরত্ব দ্বিগুন এবং স্লিটদ্বয়ের দূরত্ব অর্ধেক করা হয়, তবে ডোরা প্রস্থ হবে পূর্বের-","৪ গুন","১/৪ গুন","২ গুন","১/২ গুন",,1,,1,1
"কোন ভৌত প্রক্রিয়া শব্দ তরঙ্গ দ্বারা প্রদর্শিত হয়না?",সমবর্তন,ব্যতিচার,অপবর্তন,প্রতিসরণ,,1,"সমবর্তন দ্বারা প্রদর্শিত হয়না।",1,1
"একটি তরঙ্গের দুটি বিন্দুর মধ্যে দশা পার্থক্য 2π হলে পথ পার্থক্য হবে-",2λ,λ,λ/2,λ/4,,2,,1,1
"বিচ্ছুরণের ক্ষেত্রে নিচের কোন আলোর বিচ্যুতি সবচেয়ে কম?",লাল,সবুজ,বেগুনী,হলুদ,,1,,1,1
"25 বছর বয়সী এক মহাশূন্যচারী মহাকাশযানে 1.8 × 10<sup>8</sup> ms<sup>-1</sup> দ্রুতিতে চলে পৃথিবীর হিসেবে 30 বছর পর ফিরে এলেন। তার বর্তমান বয়স কত?","49 Y","59 Y","69 Y","99 Y",,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250315215319.jpg"">",1,1
"ফটোইলেকট্রিক ক্রিয়ার ক্ষেত্রে ফটোইলেকট্রনের সর্বোচ্চ বেগ-","শুধুমাত্র আলোর তীব্রতার উপর","শুধুমাত্র আলোর কম্পাঙ্কের উপর","কম্পাঙ্ক ও তীব্রতার উপর","কম্পাঙ্ক ও কার্য অপেক্ষকের উপর",,4,,1,1
"কোনটি ফোটন কণার বৈশিষ্ট্য নয়?","এর চার্জ শূন্য","এর ভর শূন্য","এটি আলোর বেগে ঢলে","এর ভরবেগ শূন্য",,4,,1,1
"আলোর কণা ও তরঙ্গ উভয় ধর্ম কোনটির সাহায্যে ব্যাখ্যা করা সম্ভব?","কণা তত্ত্ব","তরঙ্গ তত্ত্ব","কোয়ান্টাম তত্ত্ব","তড়িৎ চুম্বকীয় তত্ত্ব",,3," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250315215759.jpg"">",1,1
"m ভরের একটি মিটার স্কেল v সমদ্রুতিতে এর দৈর্ঘ্য বরাবর চলমান। স্কেলটির আপেক্ষিক দৈর্ঘ্য 60 cm এবং আপেক্ষিক ভরবেগ 8 Joule/c (যেখানে c শূন্য মাধ্যমে আলোর বেগ) হলে, মিটার স্কেলটির আপেক্ষিক শক্তি কত?","8 joule ","10 joule ","12 joule","14 joule",,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250315220029.jpg"">",1,1
"14min শেষে তেজস্ক্রিয় Polonium এর 1/16 অংশ অবশিষ্ট থাকে।মৌলটির অর্ধায়ু কত?","7/8 min","8/7 min","7/2 min","14/3 min",,3,,1,1
"যদি একটি বস্তু আলাের বেগে ধাবিত হয়, তবে এর ভর হবে-",অপরিবর্তিত,0,অসংগায়িত,"কোনোটিই নয়",,3,,1,1
"কৃষ্ণবস্তুর তাপমাত্রা দ্বিগুণ করলেই বিকিরণ হার কত গুণ বৃদ্ধি পাবে?",৮,১৬,৩২,৬৪,,2,"E ∝ T<sup>4</sup><br />
E ∝ 2<sup>4</sup><br />
E ∝ 16",1,1
" <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250315220805.jpg"">",ইলেক্ট্রন,"আলফা কণা",নিউট্রন,প্রোটন,,4,,1,1
"সৌরশক্তি কোন পদ্ধতিতে সৃষ্টি হয়?",Fission,"Induced fission","Chemical Reaction",Fussion,,4,,1,1
"1kg ভরের তেজস্ক্রিয় মৌলের একটি বস্তুর মধ্যে 48 দিন পরে ঐ মৌলের মাত্র 0.25kg পাওয়া যায়। মৌলটির অর্ধায়ু কত?","12 days","24 days","36 days","48 days",,2,,1,1
"টিট্রিয়ামের অর্ধ জীবন 12.5 বছর। 25 বছর পর একটি নির্দিষ্ট টিট্রিয়াম বস্তুখন্ডের কত অংশ অবশিষ্ট থাকবে?",1/2,1/4,1/8,1/16,,2,"অর্ধ জীবন 12.5 বছর।<br />
<br />
এর মানে হলো, 12.5 বছরে অবশিষ্ট থাকবে  1/2 অংশ<br />
<br />
          25 বছরে শেষ হবে=1/4 অংশ",1,1
"হাইড্রোজেন পরমাণুর দ্বিতীয় কক্ষপথে ইলেকট্রন এর শক্তি কত হবে?","-13.6 eV","-3.4 eV","13.6 eV","3.4 eV",,2,"E = -13.6/n<sup>2</sup>  = -13.6/4 = -3.4 eV",1,1
"ইলেকট্রন-ভোল্ট কিসের একক-",আধান,"বিভব পার্থক্য",কাজ,বিদ্যুৎ,,3,,1,1
"এক্স- রে এর মধ্যে চার্জের পরিমাণ-",শূণ্য,1C,2C,"1.602x10<sup>-19</sup> C",,1," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250315221513.jpg"">",1,1
"(99)<sub>16</sub> এর পরের সংখ্যাটি কত?",(9A)<sub>16</sub>,(100)<sub>16</sub>,(9C)<sub>16</sub>,(100D)<sub>16</sub>,,1,,1,1
"একটি ট্রানজিস্টর রেডিও 9V ব্যাটারি দ্বারা 10 mW এ চলে। রেডিওটির মধ্য দিয়ে কি পরিমাণ তড়িৎ প্রবাহিত হয়?","1.11 A","0.9 A","0.9 mA","1.11 mA",,4,"আমরা জানি, P=VI<br />
<br />
এখানে, ক্ষমতা=10mW<br />
বিভব পার্থক্য=9<br />
<br />
অতএব, তড়িৎ প্রবাহ,I=P/V=10/9 mA=1.11 mA",1,1
"একটি p-n জাংশনের গভীয় রোধ 40Ω। এর বিভব পার্থক্য 0.2 V পরিবর্তন করলে আনুষাঙ্গিক তড়িৎ প্রবাহের পরিবর্তন কত হবে?","4 mA","8 mA","12 mA","5 mA",,4,"R = V/I<br />
➤ I = V/R = 0.2/40 <br />
= 0.005 A = 5 mA",1,1
"(101101)<sub>2</sub> এর দশভিত্তিক মান কোনটি?",40,45,50,55,,2," <br />
<img class=""qimg"" src=""https://www.rayvila.com/5/250315222159.jpg"">",1,1
"মৌলিক লজিক গেট কোনটা?",NAND,NOR,AND,XOR,,3,,1,1
"অর্ধপরিবাহীতে যোজন ব্যান্ড এবং পরিবহন ব্যান্ডের মধ্যে শক্তি পার্থক্য কত? <br />
<br />
",1eV,2eV,10eV,20eV,,1,,1,1
