questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"<b><font color=""black"">মাইটোসিস এর কাজ কোনটি?<br />
</font></b>",অভিব্যক্তি,"মেন্ডেলের সূত্র","গ্যামিট সৃষ্টি","জননাঙ্গ সৃষ্টি",,4,"<b><font color=""green""><br />
মায়োসিসের কাজঃ<br />
<br />
১. জননকোষ সৃষ্টি<br />
<br />
২. ক্রোমোসোম সংখ্যা ধ্রুব রাখা<br />
<br />
৩. প্রজাতির স্বকীয়তা ঠিক রাখা<br />
<br />
৪. বৈচিত্র্যের সৃষ্টি<br />
<br />
৫. অভিব্যক্তি<br />
<br />
৬. গ্যামিট সৃষ্টি ও বংশবৃদ্ধি<br />
<br />
৭. জনুক্রম<br />
<br />
৮. মেন্ডেলের সূত্র<br />
<br />
[Ref: হাসান]<br />
</font></b>",1,1
"<b><font color=""black"">হ্যাপ্লয়েড জীবের কোথায় মায়োসিস সংঘটিত হয়?<br />
</font></b>","জনন কোষ",দেহকোষ,"জনন মাতৃকোষ",জাইগোট,,4,"<b><font color=""green""><br />
ক্রোমোসোম সংখ্যা ধ্রুব রাখাঃ প্রজাতিতে বংশানুক্রমে ক্রোমোসোম সংখ্যা ধ্রুব (constant) রাখা কেবলমাত্র এ প্রক্রিয়ার জন্যই সম্ভব হচ্ছে। হ্যাপ্লয়েড উদ্ভিদে জাইগোটে এবং ডিপ্লয়েড উদ্ভিদে জনন মাতৃকোষে মায়োসিস না ঘটলে পিতা-মাতা হতে সন্তান-সন্ততিতে ক্রমাগতভাবে পুরুষানুক্রমে ক্রোমোসোম সংখ্যা দ্বিগুণ, চারগুণ, আটগুণ, ষোলগুণ এভাবে বৃদ্ধি পেয়ে জীবজগতে একটি আমূল পরিবর্তন কবেই ঘটে যেতো এবং পরিণামে জীবজগৎ ধ্বংস হয়ে যেতো।<br />
</font></b>",1,1
"<b><font color=""black"">মেটাকাইনেসিস ঘটে কোন পর্যায়ে?<br />
</font></b>",মেটাফেজ,অ্যানাফেজ,জাইগোটিন,লেপ্টোটিন,,1,"<b><font color=""green""><br />
মেটাফেজ পর্যায়ে ক্রোমোসোমগুলো বিষুবীয় অঞ্চলে সজ্জিত হয়। ক্রোমোসোমগুলো এমন বিষুবীয় অঞ্চলে সজ্জিত হওয়াকে মেটাকাইনেসিস বলে।<br />
</font></b>",1,1
"<b><font color=""black"">ক্রোমজোম সংখ্যা মাতৃকোষের অর্ধেক হয় কোন ধাপে?<br />
</font></b>","প্রোফেজ – ১","মেটাফেজ – ১","অ্যানাফেজ – ১","টেলোফেজ – ১",,3,"<b><font color=""green""><br />
অ্যানাফেজ-১: এ পর্যায়ে এসে হোমোলোগাস ক্রোমোসোম পৃথক হয়ে যায় এবং বাইভেলেন্টের দুটি ক্রোমোসোম (দুটি ক্রোমাটিড নয়) বিপরীতমুখী দুটি মেরুর দিকে ধাবিত হয়। ক্রোমোসোম সূত্রের সংকোচন, কান্ডদেহের প্রসারণ ও অন্যান্য কারণে ক্রোমোসোমের মেরুমুখী চলন ঘটে। এরূপ চলনকালে সেন্ট্রোমিয়ার অগ্রগামী হয় এবং বাহুদ্বয় অনুগামী হয়। ফলে ক্রোমোসোমগুলো ইংরেজী V (মেটাসেন্ট্রিক), L (সাবমেটাসেন্ট্রিক), J (অ্যাক্রোসেন্ট্রিক) এবং I (টেলোসেন্ট্রিক) প্রভৃতি আকার ধারণ করে। উভয় মেরুতে প্রতিটি বাইভেলেন্টের একটি অবিভক্ত পূর্ণাঙ্গ ক্রোমোসোম পৌঁছে বলে প্রতি মেরুতে ক্রোমোসোম সংখ্যা মাতৃকোষের ক্রোমোসোম সংখ্যার অর্ধেক হয়ে যায়। অর্থাৎ প্রতি মেরুতে ক্রোমোসোম সংখ্যা দাঁড়ায় 2n এর পরিবর্তে n ।<br />
</font></b>",1,1
"<b><font color=""black"">ক্রোমোসোমে জিনের রেখাকার বিন্যাস প্রামাণে বা ক্রোমোসোম ম্যাপিং এ কোনটি ব্যবহৃত হয়?<br />
</font></b>",ক্রসিংওভার,সিন্যাসপসিস,ইন্টারকাইনেসিস,মিয়োসিস,,1,"<b><font color=""green""><br />
ক্রসিংওভারের গুরুত্ব:<br />
<br />
১। ক্রসিংওভারের ফলে দুটি ক্রোমাটিডের মধ্যে অংশের বিনিময় ঘটে, ফলে জিনগত পরিবর্তন সাধিত হয়।<br />
<br />
২। জিনগত পরিবর্তন সাধনের ফলে সৃষ্ট জীবে বৈশিষ্ট্যগত পরিবর্তন সাধিত হয়।<br />
<br />
৩। বৈশিষ্ট্যগত পরিবর্তনের মাধ্যমে সৃষ্টিকূলে আসে বৈচিত্র্য, সৃষ্টি হয় নতুন পরিবেশে টিকে থাকার ক্ষমতা, আবার কখনো সৃষ্টি হয় নতুন প্রজাতি।<br />
<br />
৪। ক্রসিংওভারের মাধ্যমে কাঙ্ক্ষিত উন্নত বৈশিষ্ট্য বিশিষ্ট নতুন প্রকরণ সৃষ্টি করা যায়। এভাবেই ফসলি উদ্ভিদের ক্রমাগত উন্নতি সাধন করা হয়।<br />
<br />
৫। কৃত্রিম উপায়ে ক্রসিংওভার ঘটিয়ে বংশগতিতে পরিবর্তন আনা সম্ভব। কাজেই প্রজননবিদ্যায় ক্রসিংওভারের যথেষ্ট ভূমিকা রয়েছে।<br />
<br />
৬। গবেষণার ক্ষেত্রেও ক্রসিংওভারের গুরুত্ব রয়েছে। কারণ, ক্রোমোসোমে জিনের রেখাকার বিন্যাস প্রমাণে বা ক্রোমোসোম ম্যাপিং-এ ক্রসিংওভার বৈশিষ্ট্য ব্যবহৃত হয়।<br />
<br />
৭। ক্রোমোসোমে জিনের অবস্থান নির্ণয়।<br />
<br />
৮। জেনেটিক ম্যাপ তৈরি করা।<br />
</font></b>",1,1
"<b><font color=""black"">ম্যাচুরেশন প্রোমোটিং ফ্যাক্টর (MPF) নামক প্রোটিনের প্রয়োজন পড়ে যে ধাপে-<br />
</font></b>",G₁,S-ফেজ,G₂,"S ও G₁",,3,"<b><font color=""green""><br />
ম্যাচুরেশন প্রোমোটিং ফ্যাক্টর (MPF); G₂ থেকে মাইটোসিস-এ প্রবেশ করতে হলে ম্যাচুরেশন প্রোমোটিং ফ্যাক্টর (MPE) নামক প্রোটিনের প্রয়োজন পড়ে। কিছু সংখ্যক কোষ G₂ উপপর্যায়ে এসেও আটকা পড়ে যায়, আর কখনো বিভাজন-পর্যায়ে প্রবেশ করে না। মোট সময়ের ১০-২০ ভাগ সময় এ উপপর্যায়ে ব্যয় হয়।<br />
</font></b>",1,1
"<b><font color=""black"">কোনটি অসামঞ্জস্যপূর্ণ?<br />
</font></b>","ইন্টারকাইনেসিস → DNA এর অনুলিপন","টেলোফেজ - ১ → নিউক্লিওলাস ও নিউক্লিয়ার মেমব্রেনের পুনঃআবির্ভাব","ডায়াকাইনেসিস → নিউক্লিওলাস ও নিউক্লিয়ার মেমব্রেনের বিলুপ্তি","ডিপ্লোটিন → কায়াজমার প্রান্তীয়করণ",,1,"<b><font color=""green""><br />
ইন্টারকাইনেসিস (Interkinesis): মিয়োসিস কোষবিভাজন প্রক্রিয়ায় নিউক্লিয়াসের প্রথম ও দ্বিতীয় বিভক্তির মধ্যবর্তী সময়কে ইন্টারকাইনেসিস বলে। এ সময় কিছু প্রয়োজনীয় RNA ও প্রোটিন সংশ্লেষিত হয়। কিন্তু DNA-র প্রতিলিপি সৃষ্টি হয় না।<br />
</font></b>",1,1
"<b><font color=""black"">কোন কোষে কোষ বিভাজন হয়?<br />
</font></b>",পেশীকোষ,"রক্ত কোষ","ভ্রুণ কোষ","পরিণত জনন কোষ",,3,"<b><font color=""green""><br />
সকল ভ্রুণ কোষ, বর্ধনশীল কান্ড, মূলের বর্ধিষ্ণু অংশ, ক্যাম্বিয়াম প্রভৃতিতে কোষ বিভাজন হয়।<br />
</font></b>",1,1
"<b><font color=""black"">ক্যান্সার কোষের জন্য সত্য নয় যেটি –<br />
</font></b>","সাইক্লিন-Cdk নিয়ন্ত্রণ বিনষ্ট হয়ে যায়","defective P⁵³ থাকে","গ্রোথ ফ্যাক্টর নিজেরাই তৈরি করে","বিভাজনে সর্বদা গ্রোথ ফ্যাক্টর লাগে",,4,"<b><font color=""green""><br />
ক্যান্সার কোষের অনিয়ন্ত্রিত মাইটোসিস: অনিয়ন্ত্রিত মাইটোসিস টিউমার, ক্যান্সার সৃষ্টি করে। ক্যান্সার কোষে সাইক্লিন-Cdk (Cyclic dependent kinase) নিয়ন্ত্রণ বিনষ্ট হয়ে যায়। P53 নামক প্রোটিন কোষকে বিভাজনের হাত থেকে বিরত রাখে। এটি defective হলে (মানুষের প্রায় অর্ধেক সংখ্যক কোষেই defective P⁵³ আছে) কোষ চক্র নিয়ন্ত্রণ হারিয়ে ফেলে। এর ফলে ক্যান্সার সৃষ্টি হয়। কোষ বিভাজনের জন্য কিছু গ্রোথ ফ্যাক্টর লাগে। ক্যান্সার কোষ তাদের গ্রোথ ফ্যাক্টর নিজেরাই তৈরি করে অথবা বিভাজনের জন্য এদের কোনো গ্রোথ ফ্যাক্টর লাগে না।<br />
</font></b>",1,1
"<b><font color=""black"">কোন প্রক্রিয়াটি কোষের মৃত্যুর জন্য দায়ী?<br />
</font></b>",এপিস্ট্যাসিস,অ্যাপোপটোসিস,সিন্যাপসিস,অ্যামাইটোসিস,,2,"<b><font color=""green""><br />
দুটি উপায়ে কোষের মৃত্যু ঘটে।<br />
<br />
i) Apoptosis→কোষের জেনেটিক্যালি নিয়ন্ত্রিত মৃত্যু।<br />
<br />
ii) Necrosis→পুষ্টির অভাব হলে বা বিষাক্ত দ্রব্যের কারণে ক্ষতিগ্রস্ত হয়ে কোষের মৃত্যু।<br />
</font></b>",1,1
"<b><font color=""black"">ক্রোমাটিডের মেরুমুখী চলন কোষ বিভাজনের কোন ধাপে শুরু হয়?<br />
</font></b>",প্রোফেজ,প্রো-মেটাফেজ,মেটাফেজ,অ্যানাফেজ,,4,"<b><font color=""green""><br />
অ্যানাফেজ পর্যায়ে অপত্য ক্রোমোসোমসমূহ বিষুবীয় অঞ্চল থেকে মেরুমুখী চলতে শুরু করে। তাই অ্যানাফেজকে গতি পর্যায়ও বলে।<br />
</font></b>",1,1
"<b><font color=""black"">মায়োসিস এর কোন পর্যায়ে হোমোলোগাস ক্রোমোসোম পৃথক হয়?<br />
</font></b>","Anaphase I","Prophase II","Telophase I","Metaphase I",,1,"<b><font color=""green""><br />
মায়োসিস বিভাজনের অ্যানাফেজ-১ পর্যায়ে এসে হোমোলোগাস ক্রোমোসোম পৃথক হয়ে যায় এবং বাইভেলেন্টের দুটি ক্রোমোসোম বিপরীতমুখী দুটি মেরুর দিকে ধাবিত হয়।<br />
</font></b>",1,1
"<b><font color=""black"">কোন পর্যায়ে সর্বপ্রথম বাইভ্যালেন্টের দুটি সেন্ট্রোমিয়ার ও চারটি ক্রোমাটিড পরিলক্ষিত হয়?<br />
</font></b>",জাইগোটিন,লেপ্টোটিন,প্যাকাইটিন,ডিপ্লোটিন,,3,"<b><font color=""green""><br />
প্যাকাইটিনের পূর্বে প্রতিটি ক্রোমোসোমের দুটি করে ক্রোমাটিড দৃষ্টিগোচর হয় না অর্থাৎ প্রথম প্যাকাইটিন উপ-পর্যায়েই প্রতিটি বাইভ্যালেন্টে দুটি সেন্ট্রোমিয়ার ও চারটি ক্রোমাটিড পরিলক্ষিত হয়।<br />
</font></b>",1,1
"<b><font color=""black"">মাইটোসিসের কোন ধাপে অ্যাস্টার রশ্মি গঠন করে?<br />
</font></b>",প্রোফেজ,প্রো-মেটাফেজ,টেলোফেজ,অ্যানাফেজ,,2,"<b><font color=""green""><br />
মাইটোসিস কোষ বিভাজনের প্রো-মেটাফেজ ধাপে প্রাণিকোষে স্পিন্ডল যন্ত্র সৃষ্টি ছাড়াও পূর্বে (প্রোফেজ ধাপে) বিভক্ত সেন্ট্রিওল দু'মেরুতে অবস্থান করে এবং দু'মেরু হতে অ্যাস্টার তন্তু বিচ্ছুরিত হয়।<br />
</font></b>",1,1
"<b><font color=""black"">কোষ বিভাজনের ____ উপ-পর্যায়ে কায়াজমা তৈরি হয়?<br />
</font></b>",প্যাকাইটিন,জাইগোটিন,ডিপ্লোটিন,লেপ্টোটিন,,1,"<b><font color=""green""><br />
কোষ বিভাজনের প্যাকাইটিন উপ-পর্যায়ে কায়াজমা তৈরি হয়। বাইভ্যালেন্ট সৃষ্টি হয় জাইগোটিন উপ-পর্যায়ে। লুপ সৃষ্টি এবং প্রান্তীয়করণ দেখা যায় ডিপ্লোটিন উপ-পর্যায়ে।<br />
</font></b>",1,1
"<b><font color=""black"">স্পোরোফাইটিক উদ্ভিদে কোথায় মায়োসিস ঘটে?<br />
</font></b>",দেহকোষে,জননকোষ,"জনন মাতৃকোষে",জাইগোটে,,3,"<b><font color=""green""><br />
স্পোরোফাইট হলো একটি উদ্ভিদের ডিপ্লয়েড বহুকোষী পর্যায় আর ডিপ্লয়েড জীবের জনন মাতৃকোষে মায়োসিস ঘটে। হ্যাপ্লয়েড জীবের জাইগোটে মায়োসিস ঘটে।<br />
</font></b>",1,1
"<b><font color=""black"">মাইটোসিস কোষ বিভাজনের সবচেয়ে স্বল্পস্থায়ী পর্যায় কোনটি?<br />
</font></b>",প্রোফেজ,প্রো-মেটাফেজ,মেটাফেজ,অ্যানাফেজ,,2,"<b><font color=""green""><br />
মাইটোসিস কোষ বিভাজনের সবচেয়ে দীর্ঘস্থায়ী পর্যায় প্রোফেজ। মাইটোসিস কোষ বিভাজনের সবচেয়ে স্বল্পস্থায়ী পর্যায় প্রো- মেটাফেজ।<br />
</font></b>",1,1
"<b><font color=""black"">থমাস হান্ট মর্গান ১৯০৯ সালে প্রথম কোন উদ্ভিদের ক্ষেত্রে ক্রসিং ওভার সম্পর্কে ধারণা পেল?<br />
</font></b>",ধান,গম,ভুট্টা,সব,,3,"<b><font color=""green""><br />
থমাস হান্ট মর্গান ১৯০৯ সালে ভূট্টা উদ্ভিদে (Zea mays) প্রথম ক্রসিং ওভার সম্পর্কে ধারণা দেন। {রাবিতে 22-23 শিক্ষাবর্ষে প্রশ্নটা আসছে}<br />
</font></b>",1,1
"<b><font color=""black"">বিপাকীয় নিউক্লিয়াস কখন দেখা যায়?<br />
</font></b>","প্রোফেজ দশায়","মেটাফেজ দশায়","অ্যানাফেজ দশায়","ইন্টারফেজ দশায়",,4,"<b><font color=""green""><br />
ইন্টারফেজ দশায় নিউক্লিয়াসে বহু গুরুত্বপূর্ণ ক্রিয়া বিক্রিয়া ঘটে থাকে। তাই ইন্টারফেজ অবস্থায় কোষের নিউক্লিয়াসকে বলা হয় বিপাকীয় নিউক্লিয়াস। ইন্টারফেজ দশাটি বেশ দীর্ঘ।<br />
</font></b>",1,1
