questions,option1,option2,option3,option4,option5,answer,explanation,type,section
"<b>p-n জাংশনের সংযোগস্থলে ডিপ্লেশন স্তরের সৃষ্টির কারণ-</b>","হোলের তাড়ন","ইলেকট্রনের তাড়ন","আধান বাহকের ব্যাপন","অপদ্রব্য আয়নের স্থানান্তর",,3,"<br />
<b>p-n জাংশনের যে পাশে p-টাইপ অঞ্চল রয়েছে সেখানে  সংখ্যাগুরু চার্জ বাহক হোল (hole), আর যে পাশে n-টাইপ অঞ্চল সেখানে সংখ্যাগুরু চার্জ বাহক ইলেকট্রনের ঘনত্ব অনেক বেশি থাকে। যখন n-টাইপ ও p-টাইপ অঞ্চল সংযুক্ত করা হয় তখন ব্যাপন প্রক্রিয়ায় n অঞ্চল হতে ইলেকট্রন p অঞ্চলে এবং p অঞ্চল হতে হোল n অঞ্চলের দিকে গমন করে। p ও n অঞ্চলের সংযোগ স্থলে কিছু ইলেকট্রন ও হোল মিশে গিয়ে n অঞ্চলের দিকে ঋণাত্মক আয়ন ও p অঞ্চলের দিকে ধনাত্মক আয়নের স্তর সৃষ্টি হয়। হোলগুলো ধনাত্মক আয়নের স্তর দ্বারা বিকর্ষিত হয় এবং ইলেকট্রনগুলো ঋণাত্মক আয়নের স্তর দ্বারা বিকর্ষিত হয়, ফলে ব্যাপন ক্রিয়া বন্ধ হয়ে যায়। এভাবে p ও n অঞ্চলের সংযোগ স্থলে চার্জের বাহক বিহীন একটি নিঃশেষিত বা ডিপ্লেশন স্তর সৃষ্টি হয়।</b>",1,1
"<b>50kg ওজন বিশিষ্ট একজন ব্যাক্তি একই সমতলে(ঘর্ষণহীন) সামনে অবস্থিত 100kg ভরের একটি পাথরকে অন্য প্রান্তে নেওয়ার জন্য 50N বল দিয়ে ধাক্কা দেয়। 10s পরে পাথরটি সম্পর্কে নিচের কোন বাক্যটি সত্য?</b>","বেগ 5ms⁻¹ হবে","টানা 10 s ধাক্কা দেওয়া সম্ভব না","বেগ 10ms⁻¹ হবে","বেগ 10 cm হবে",,1,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-18/ed82e158-2059-494c-979f-f9c97fe97e05-image.png"">",1,1
"<b>বায়ুতে ইয়ং এর দ্বি-চিড় পরীক্ষায় 6000Å তরঙ্গ দৈর্ঘের আলো ব্যবহার করলে ডোরার ব্যাবধান হয় 2.66mm। যদি সমস্ত পরীক্ষা যন্ত্রটিকে 1.33 প্রতিসরাংকের একটি তরলে ডোবানো হয় তাহলে ডোরার ব্যাবধান কত হবে?</b>",1.504mm,0.5mm,1mm,2mm,,4,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/1fe6ba7d-0379-4ac3-9e89-480aa9dc86d1-image.png"">",1,1
"<b>একটি অ্যামিটার 5A বিদ্যুৎ নিরাপদে মাপতে পারে। অ্যামিটারের অভ্যন্তরীণ রোধ r হলে ঐ অ্যামিটার দ্বারা 7.5A বিদ্যুৎ মাপার জন্য কত রোধের শান্ট দরকার?</b>",2r,4r,r/4,r/2,,1,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-18/c9272c49-b183-4208-a1bb-fb53b49ff537-image.png "">",1,1
"<b>100 cm³  দ্রবণে 10.6 g Na₂CO₃ দ্রবীভূত থাকে, মোলারিটি (M) বের কর।</b>",0,2.0,0.1,1.0,,4,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/67d40f07-8fd5-425c-92a7-bbf12f7544bb-image.png "">",1,2
"<b>একটি ট্রেনের স্থির অবস্থার দৈর্ঘ্য 100m। একটি অতি উচ্চ বেগে 80m দৈর্ঘ্যের একটি সুরঙ্গের।মধ্য দিয়ে যায়। সুরঙ্গের দুই প্রান্তে অবস্থিত পর্যবেক্ষকরা লক্ষ্য করেন যে, একটি মুহূর্তের ট্রেনটির দৈর্ঘ্য ঠিক সুরঙ্গের দৈর্ঘ্যের সমান হয়। c এরএককে ট্রেনের বেগ কত?</b>","0.866 c","0.333 c","0.5 c","0.6 c",,4,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2023-09-16/530a4ca0-c2b2-4331-a108-a08588adb6ae-image.png "">",1,1
"<b>দুটি সুসংগত উৎস থেকে λ তরঙ্গ দৈর্ঘ্যের দুটি তরঙ্গ সমদশায় বের হয়। একটি বিন্দুতে যেখানে তরঙ্গ দুটি মিলিত হয় সেখানে তাদের দশা পার্থক্য 90°। তরঙ্গ দুটির অতিক্রান্ত পথ পার্থক্য তখন কত?</b>",2λ,λ,λ/2,λ/4,,4,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2023-09-16/44431a61-fd06-45ac-b1a6-6377c35582dd-image.png"">",1,1
"<b>একটা ব্যাটারির মধ্যে তড়িৎ প্রবাহ i দ্বারা প্রকাশ করা হয়। ঐ ব্যাটারির তড়িচ্চালক বল, এর দুই প্রান্তের বিভব পার্থক্যের সমান হবে?</b>",সবসময়,"কখনোই না","শুধুমাত্র যখন i=0","শুধুমাত্র যখন i= ধ্রুবক",,3,"<br />
<b>তড়িচ্চালক বল E = V + ir; E = V[i = 0]</b>",1,1
"<b>বৃষ্টির একটি বড় ফোঁটা ভেঙ্গে অনেকগুলো ছোট ফোঁটায় পরিণত হলে, বড় ফোঁটাটির তুলনায় ছোট ফোঁটাগুলির সমষ্টিগত ক্ষেত্রফল-</b>","হ্রাস পাবে","বৃদ্ধি পাবে","অপরিবর্তিত থাকবে","কোনটিই নয়",,2,"<br />
<b>বড় ফোঁটা ভেঙ্গে অনেকগুলো ছোট ফোঁটায় পরিণত করলে, বড় ফোঁটার তুলনায় ছোট ফোঁটাগুলির সমষ্টিগত ক্ষেত্রফল বৃদ্ধি পায় কিন্তু মোট আয়তন সমান থাকে। ইক</b>",1,1
"<b>একটি 3 মানের ভেক্টরকে একটি 4 মানের ভেক্টরের সাথে যোগ করলে লব্ধি ভেক্টরের নাম নিচের কোনটি হবে না?</b>",0,1,3,5,,1,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/6700d085-7fb6-4a08-aa9a-e01adcad2c67-image.png "">",1,1
"<b>শূণ্য ভর এবং E শক্তিবিশিষ্ট একটি কণার ভরবেগ কোনটি?</b>",√(Ec),E/c,Ec,শুন্য(0),,2,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/6d964d0b-f45f-41d4-b3dc-f2b17f5452eb-image.png "">",1,1
"<b>সূচন কম্পাঙ্কের আলোর জন্য ধাতু থেকে নির্গত ইলেকট্রনের বেগ কত?</b>",সর্বোচ্চ,শূন্য,সর্বনিম্ন,অসীম,,2,"<br />
<b>প্রত্যেক ধাতুর ক্ষেত্রে একটি ন্যূনতম কম্পাঙ্ক আছে যার চেয়ে কম কম্পাঙ্কবিশিষ্ট কোন আলো ওই ধাতু থেকে ইলেকট্রন নির্গত করতে পারে না। ওই ন্যূনতম কম্পাঙ্ককে ওই ধাতুর প্রারম্ভ বা সূচন কম্পাঙ্ক বলে।  আলোকের কম্পাঙ্ক ৩-এর মান ক্রমশ হ্রাস পেতে থাকলে ইলেকট্রনের বেগ হ্রাস পায় এবং একটি ন্যূনতম কম্পাঙ্ক ৩০ এর জন্য বেগ শূন্য হয়। ফলে এর নিচের কম্পাঙ্কে  কোন আলোক ইলেকট্রন নির্গত হয় না।  অতএব সূচন কম্পাঙ্কের আলোর জন্য ধাতু থেকে ইলেকট্রনের বেগ শুন্য।</b>",1,1
"<b>নিচের কোনটির উপরে জড়তার ভ্রামক নির্ভর করে?</b>","কৌণিক ভরবেগ","ভর ও ঘূর্ণন অক্ষের অবস্থান","রৈখিক বেগ","কৌণিক বেগ",,2,"<br />
<b>Ishak Sir- 1st Paper, Ch-04(Page-279)  <br />
বস্তুর জড়তার ভ্রামক এর ভর ও ঘূর্ণন অক্ষের অবস্থানের উপর নির্ভর করে।</b>",1,1
"<b>5kg ভরের একটি বস্তুকে ভূমি থেকে খাড়া উপরে ছুড়ে মারা হল। 20m উচ্চতায় উহার গতিশক্তি 20J হলে ছোড়ার মূহুর্তে উহার ভরবেগ কত kgm2 ছিল?</b>",20,80,100,120,,3,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2023-09-17/0e8563b6-4c9d-4893-8fb7-69aa79dee7e2-image.png"">",1,1
"<b>NTP তে 2L নাইট্রোজেনের ওজন-</b>",1.3g,5g,2.5g,1g,,3,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-17/fba70a0e-1cf9-4689-86c3-473ba8e4aabe-image.png"">",1,2
"<b>কোন যৌগটি ‘এসিড বৃষ্টি’ এর জন্য  দায়ী?</b>",CO₂,HNO₃,SO₂,CO₅,,3,"<br />
<b>বায়ুমন্ডলে অধঃক্ষেপণ বৃষ্টিতে pH এর মান 5.6 এর কম হলেই ঐ অধঃক্ষেপণকে এসিড বৃষ্টি বলে।  <br />
এসিড বৃষ্টি সৃষ্টিতে ৩টি এসিডের ভূমিকা সর্বাধিক।  এসিডগুলো হল- H2SO3, H2SO4, HNΝΟ3  প্রাইমারী বায়ুদূষক SO2 গ্যাস ও নাইট্রোজেন অক্সাইডসমূহ (NO₂) হতে উৎপন্ন হয়।</b>",1,2
"<b>কোনটি ক্যাননিজারো বিক্রিয়া প্রদর্শন করে না?</b>",CH₃CH₂CHO,CH₃CHO,CHCOOH,CH₃CH₂CH₂OH,,4,"<br />
<b>CH₃CH₂CHO (প্রোপানাল) এখানে α-কার্বন হলো CH₂, এবং এর সাথে দুটি হাইড্রোজেন (α-হাইড্রোজেন) রয়েছে। ফলে এটি ক্যাননিজারো বিক্রিয়া প্রদর্শন করে না। 2. CH₃CHO (অ্যাসিট্যালডিহাইড) এখানে α-কার্বন হলো CH₃, এবং এর সাথে তিনটি হাইড্রোজেন (α-হাইড্রোজেন) রয়েছে। সুতরাং এটি ক্যাননিজারো বিক্রিয়া প্রদর্শন করে না। 3. HCHO (ফরম্যালডিহাইড) এখানে কোনো α-কার্বন নেই, তাই কোনো α-হাইড্রোজেনও নেই। এটি ক্যাননিজারো বিক্রিয়া প্রদর্শন করে। 4. CH₃CH₂CH₂OH (প্রোপানল) এটি একটি অ্যালকোহল, অ্যালডিহাইড নয়। ফলে এটি ক্যাননিজারো বিক্রিয়া প্রদর্শন করে না। সঠিক উত্তর: CH₃CH₂CH₂OH কারণ: এটি অ্যালডিহাইড নয়, তাই এটি ক্যাননিজারো বিক্রিয়া প্রদর্শন করতে পারে না।</b>",1,2
"<b>দ্রবণে Cu²⁺ আয়ন  পরীক্ষার জন্য প্রয়োজন?</b>","NH₄OH solution",CaCl,"নেসলার বিকারক","NH₃ solution",,1,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/49f5fc94-e1c6-4528-89c4-25beb88eac24-image.png "">",1,2
"<b>নিচের কোনটি যৌগটি ডায়াজোনিয়াম লবণ উৎপন্ন করে?</b>",CH₄,NH₃OH,C₆H₅NH₂,C₆H₅NH₃,,3,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/3d7cc3c9-1129-4d4c-8aaf-0b1697628c8e-image.png "">",1,2
"<b>প্রাকৃতিক পলিমার হলো—</b>",মেলামাইন,রেজিন,"স্টার্চ,ডিএনএ",বাকেলাইট,,3,"<br />
<b>উৎসের ভিত্তিতে পলিমারসমূহ ৩ ধরনের-  <br />
১.  প্রাকৃতিক পলিমার: সেলুলোজ, স্টার্চ, গ্লাইকোজেন, নিউক্লিক এসিড (DNA, RNA), প্রাকৃতিক রাবার।  <br />
২.  কৃত্রিম পলিমার: নাইলন, টেরিলিন, পলিথিন, পলিস্টারিন, পলিভিনাইল ক্লোরাইড (PVC), টেফলন।  <br />
৩.  অর্ধকৃত্রিম পলিমার: সেলুলোজ থেকে সেলুলোজ অ্যাসিটেট, সেলুলোজ নাইট্রেট, প্রাকৃতিক রাবার হতে হ্যালোজেনেটেড প্রাকৃতিক রাবার।</b>",1,2
"<b>নিচের কোন বিক্রিয়ার কার্বন-কার্বন নতুন বন্ধন তৈরি  হয়?</b>",কার্বক্সিলেশন,"অ্যালডল ঘনীভবন","ফ্রিডেল – ক্রাফটস",সবগুলো,,3,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/1e3e769e-eae1-4d7f-ae04-e64391805ffa-image.png "">",1,2
"<b>পর্যায় সারণির IIB-গ্রুপের মৌলগুল কোনটি?</b>","Zn,Cd,Hg","Ca,Ag,Au","Ni,Co,Fe","Na,K,Li",,1,"<b>Group 12 (IIB) of the periodic table :  zinc (Zn), cadmium (Cd), mercury (Hg), and copernicium (Cn).</b><br />
<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-17/4dc7dc29-9bfa-46d7-8ca8-5330d30f1713-image.png"">",1,2
"<b>0.01 M HCL দ্রবণের pH এর মান কত?</b>",1,12,2,13,,3,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-18/26e6d494-44f0-49b9-a9ff-5628ea0f5167-image.png "">",1,2
"<b>কোনটি কণাজাতীয় দূষক নয়?</b>",বালু,ধূলিকণা,ধোঁয়া,"কার্বন মনো-অক্সাইড",,4,"<br />
<b>CO একটি নীরব ঘাতক গ্যাস।</b>",1,2
"<b>কেনটি হাইপোফসফরাস এসিডের সংকেত?</b>",H₃PO₂,H₃PO₃,H₃PO₄,HPO₃,,1,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/771fa0a8-535a-44b0-954f-28bc4d129c27-image.png"">",1,2
"<b>27 g Al ক্যাথোডে জমা করতে কি পরিমাণ বিদ্যুৎ লাগবে?</b>","1 F","3 F","13.5 F","27 F",,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/7648ff5c-8266-4674-8c92-4e2572dbf267-image.png"">",1,2
"<b>দুধ থেকে ছানা তৈরির প্রক্রিয়া হলো-</b>",আর্দ্রবিশ্লেষন,গাঁজন,কোয়াগুলেশন,জারণ,,3,"<br />
<b>দুধে লেবুর রস দিলে এর চর্বি কনাগুলো পানি থেকে আলাদা বা অধঃক্ষিপ্ত হয়। এটি রাসায়নিক কোয়াগুলেশন পদ্ধতি আবার দুধকে কিছুক্ষণ আলোড়িত করা হলে চর্বি কণাগুলো পানির স্তর থেকে পৃথক হয়ে উপরে ভেসে উঠে। এটি যান্ত্রিক কোয়াগুলেশন পদ্ধতি।</b>",1,2
"<b>নিচের কোন যৌগটি সিস-ট্রান্স সমানুতা প্রদর্শন করে?</b>",C₆H₅CHBrCl,ClCH=CHCL,CH₂=CH₂,CH₃CH(OH)COOH,,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2023-09-16/bba73fbc-c731-4783-8dd9-6eb7ba877b99-image.png"">",1,2
"<b>নিচের কোনটা অসামঞ্জস্যকরণ বিক্রিয়া?</b>","2Na + Cl₂ →2NaCl","AgNO₃ + NaCl →NaNO₃ + AgCl","Cl₂ + H2O →HCl + HOCl","FeCl₃ + SnCl₂ →SnCl₄ + FeCl₂",,3,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-17/17e18e87-82f7-4ebd-b1de-c3db4f42b674-image.png"">",1,2
"<b>অনার্দ্র  AlCl₃এর উপস্থিতিতে বেনজিনের সাথে অ্যাসিটাইল ক্লোরাইডের বিক্রিয়ায় উৎপন্ন হয়</b>",Chlorobenzene,Acetophenon,Toluene,"Benzoic acid",,2," <img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/4d55fc3d-b632-418b-bcba-db24662911d3-image.png "">",1,2
"<b>CH₃MgX - এর সাথে নিচের কোন যৌগটির বিক্রিয়ায় আইসোপ্রোপানল তৈরি হয়?</b>",HCHO,CH₃CHO,CH₃COCH₃,CH₃OH,,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-17/f4019481-f30e-4c2e-9ce3-c7718cd6a90d-image.png"">",1,2
"<b>C₅H₁₂ যৌগটির গাঠনিক সমাণু কয়টি?</b>",2,3,4,5,,2,"<img class=""qimg"" src=""https://testmozusercontent.com/ugc/2022-12-17/6e013095-f16d-454e-bfe0-1f73f88d7021-image.png "">",1,2
"<b>সোডিয়াম ধাতু সংরক্ষণের জন্য নিচের কোনটি উপযুক্ত?</b>",NaCl(aq),HCl(aq),Ethanol,Hexane,,4,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-17/aecc9489-a5e1-499c-9bd1-8ecfb6e563f3-image.png"">",1,2
"<b>নিচের কোনটি সরলরৈখিক নয়?</b>",CO₂,H₂S,C₂H₂,O₂,,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-17/637ae6df-a1cc-44a1-8367-2617176d82d8-image.png"">",1,2
"<b>প্রোপিন বেয়ার পরীক্ষায় কি উৎপন্ন করে?</b>","ইথিলিন গ্লাইকল",ইথেন-ডাইওল,"প্রোপেন-1,2-ডাইওল",সর্বিটল,,3,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/444bc451-4e4d-45a2-a001-54f7deebbd46-image.png"">",1,2
"<b>পানিতে দ্রবীভূত O2 এর ঘনমাত্রা 1×10⁻⁴ হলে ppm এককে ঘনমাত্রা কত?</b>",0.32,3.2,32,1.6,,2,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/fb1d34c0-f985-44ef-b354-5bf73467bc6a-image.png"">",1,2
"<b>নিচের কোনটি ভিনাইল মূলক?</b>",CH₂=CH–,CH₃–CH₂–,CH≡C–,CH₃–,,1,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/0aeccab5-e852-4ac5-81c4-9ce137f608b1-image.png"">",1,2
"<b>শুষ্ক ইথারে অ্যালকাইল হ্যালাইড থেকে অ্যালকেন তৈরি করা হয় কোন বিক্রিয়ার মাধ্যমে?</b>","রাইমার টাইম্যান","উর্টজ ফিটিগ","ফ্রিডেল ক্রাফটস",উর্টজ,,4,"<img class=""qimg"" src="" https://testmozusercontent.com/ugc/2022-12-18/787bb94c-3a03-44a3-8c8a-1a98e4ef8a07-image.png"">",1,2
"<b>নিচের কোনটি যকৃত কোষের শনাক্তকারী বৈশিষ্ট্য নয়?</b>","হেপাটিক লোবিউল","হেপাটিক সেল",সাইনুসয়েড,মিউকোসা,,4,"<br />
<b>মানব যকৃত গ্লিসন ক্যাপসুল নামক পর্দা দিয়ে আবৃত।  <br />
যকৃত লোবিউল নামক অসংখ্য ক্ষুদ্র অংশে বিভক্ত।  লোবিউলগুলো ৫ বা ৬ বাহুবিশিষ্ট, বহুভুজাকার।  <br />
প্রতিটি লোবিউলের অন্তর্ভাগে অসংখ্য বহুভুজাকার হেপাটিক কোষ বা হেপাটোসাইট থাকে।  <br />
লোবিউলের কেন্দ্রে একটি করে কেন্দ্রীয় শিরা থাকে।  <br />
লোবিউলের মাঝে রক্ত চলাচলের জন্য sinusoid (সাইনুসয়েড) নামক ফাঁকা স্থান থাকে।  <br />
সাইনুসয়েডগুলো কাপফার কোষ দিয়ে আবৃত।</b>",1,3
"<b>স্পিকিউল কোন ধরনের/পর্বের প্রাণীতে পাওয়া যায়?</b>",নেমাটোডা,নিডারিয়া,পরিফেরা,প্লাটিহেলমিনথেস,,3,"<br />
<b>স্পঞ্জ জাতীয় প্রাণিতে স্পিকিউল থাকে। এদের পর্বের নাম পরিফেরা। উদাহরণ- spongilla. Scypha</b>",1,3
"<b>উদ্ভিদের প্রাকৃতিক শ্রেণীবিন্যাস প্রকাশিত হয় যে গ্রন্থে-</b>","Genera Plantarum","Help The Needy","Le Regne Animal","Philosophie Zoologique",,1,"<br />
<b>জর্জ বেনথাম এবং স্যার জোসেফ ডালটন হুকার নামক দুজন ইংরেজ উদ্ভিদবিজ্ঞানী তাঁদের জেনেরা প্ল্যান্টেরাম (Genera Plantarum) নামক পুস্তকে প্রাকৃতিক শ্রেণিবিন্যাস পদ্ধতি প্রকাশ করেন।</b>",1,3
"<b>জৈব মুদ্রা কোনটি?</b>",NADP,ADP,ATP,NADPH2,,3,"<br />
<b>কোষের রান্নাঘর ক্লোরোপ্লাস্ট  <br />
কোষের পাওয়ার হাউস মাইটোকন্ড্রিয়া  <br />
কোষের প্রোটিন ফ্যাক্টরি রাইবোসোম  <br />
গলগি বডি কোষের প্যাকেজিং হাউস  <br />
কোষের সুইসাইডাল স্কোয়াড বা আত্মঘাতী থলিকা → লাইসোসোম  <br />
কোষের মস্তিষ্ক → নিউক্লিয়াস  <br />
কোষের মুদ্রা → АТР  <br />
কোষের ট্রাফিক পুলিশ গলগি বডি।</b>",1,3
"<b>একবীজপত্রী মূলে জাইলেম গুচ্ছের সংখ্যা কত?</b>",পাঁচটি,"সংখ্যায় ছয়ের অধিক",দুই-তিনটি,একটি,,2,"<br />
<b>একবীজপত্রী উদ্ভিদ মূলে ভাস্কুলার বান্ডল 6 এর অধিক।  দ্বিবীজপত্রী উদ্ভিদ মূলে ভাস্কুলার বান্ডল 6 এর কম (2 - 4)।</b>",1,3
"<b>জীববিজ্ঞানের Transduction এর সংজ্ঞা নিম্নের কোনটি?</b>","ভাইরাসের মাধ্যমে এক ভাইরাস হতে অন্য ভাইরাসে জেনেটিক উপাদান স্থানান্তর প্রক্রিয়া","ভাইরাসের মাধ্যমে এক ব্যাকটেরিয়াম হতে অন্য ব্যাকটেরিয়ামে জেনেটিক উপাদান স্থানান্তর প্রক্রিয়া","ভাইরাসের মাধ্যমে এক ব্যাকটেরিয়াম হতে অন্য ব্যাকটেরিয়ামে ফ্লুইড স্থানান্তর প্রক্রিয়া","ব্যাকটেরিয়া মাধ্যমে এক ভাইরাস হতে অন্য ভাইরাসে জেনেটিক উপাদান স্থানান্তর প্রক্রিয়া",,2,"<br />
<b>ট্রান্সফরমেশন (Transformation): পরিবেশ থেকে অন্য ব্যাকটেরিয়ার (সাধারণত মৃত ব্যাকটেরিয়া) DNA, গ্রহীতা কোষে প্রবেশ করে রিকম্বিনেশন ঘটাতে পারে। একে বলে ট্রান্সফরমেশন।  ট্রান্সডাকশন (Transduction): ফায ভাইরাসের মাধ্যমে এক  ব্যাকটেরিয়ার জিনোম, কখনও ফায জিনোম, অন্য ব্যাকটেরিয়াতে প্রবেশ করে রিকম্বিনেশন ঘটাতে পারে। একে বলে ট্রান্সডাকশন।</b>",1,3
